"_id",Location-Name,Index,Primary-Key,Location-Alpha-2-ISO,Location-Alpha-3-ISO,Location-Numeric-Code-ISO-MF-OTHER,Location-Name-ISO,Region-Numeric-Code-ISO1,Region-Name-ISO1,Region-Numeric-Code-ISO2,Region-Name-ISO2,Region-Numeric-Code-ISO3,Region-Name-ISO3,Subregion-Numeric-Code-ISO1,Subregion-Name-ISO1,Subregion-Numeric-Code-ISO2,Subregion-Name-ISO2,Subregion-Numeric-Code-ISO3,Subregion-Name-ISO3,Subregion-Numeric-Code-ISO4,Subregion-Name-ISO4,Subregion-Numeric-Code-ISO5,Subregion-Name-ISO5,Location-Alpha-2-IATI,Location-Alpha-3-IATI,Location-Name-IATI,Region-Numeric-Code-IATI,Region-Name-IATI,Location-Name-DAC,Region-Numeric-Code-DAC,Region-Name-DAC,Location-Name-UNDP-HDI,Location-Alpha-3-USGOV,Location-Numeric-Code-USGOV,Location-Name-USGOV1,Location-Name-USGOV2,Region-Numeric-Code-USGOV,Region-Name-USGOV,World-Bank-Income-Group,UNDP-HDI-Location-Reference,Location-Name-General1,Location-Name-General2,HDI,Coordinate-Reference-Point,Latitude,Longitude,Location Type,LocationNameFinalNotes,ISO2Note,ISO3Note,HDI Note,Numeric-Code-Note
58642a2568c6b627b89e09fe,Andorra,GEOM001,AND,AD,AND,20,Andorra,150,Europe,,,,,39,Southern Europe,,,,,,,,,AD,AND,,89,"Europe, regional",,71,Europe,Andorra,AND,20,,,2,Europe and Eurasia,High income,Andorra,,,0.844641908,Andorra la Vella,42.5063174,1.5218355,Country,"Name is based on ISO Alpha 3 code, pulled from ISO where possible and if not within official ISO than the DAC/CRS name has been used.",,,"Cited from UNDP 2015 Human Development Index Data, http://hdr.undp.org/sites/default/files/2015_statistical_annex_tables_all.xls","Where possible, the ISO numeric code has been given. Where not possible, either the UN, MF, DAC region code, or Calling Code has been used preferably in that same order where a three digit identifier not in use elsewhere in this list was available."
58642a2568c6b627b89e09ff,United Arab Emirates,GEOM002,ARE,AE,ARE,784,United Arab Emirates,142,Asia,,,,,145,Western Asia,,,,,,,,,AE,ARE,UNITED ARAB EMIRATES (THE),589,"Middle East, regional",United Arab Emirates,540,Asia (Middle East Asia),United Arab Emirates,ARE,784,United Arab Emirates,,4,South and Central Asia,High income,United Arab Emirates,,,0.83546904,Abu Dhabi,24.453884,54.3773438,Country,"Name is based on ISO Alpha 3 code, pulled from ISO where possible and if not within official ISO than the DAC/CRS name has been used.",,,"Cited from UNDP 2015 Human Development Index Data, http://hdr.undp.org/sites/default/files/2015_statistical_annex_tables_all.xls","Where possible, the ISO numeric code has been given. Where not possible, either the UN, MF, DAC region code, or Calling Code has been used preferably in that same order where a three digit identifier not in use elsewhere in this list was available."
58642a2568c6b627b89e0a00,Afghanistan,GEOM003,AFG,AF,AFG,4,Afghanistan,142,Asia,,,,,34,Southern Asia,,,,,,,,,AF,AFG,AFGHANISTAN,689,"South & Central Asia, regional",Afghanistan,540,Asia (Middle East Asia),Afghanistan,AFG,4,Afghanistan,,4,South and Central Asia,Low income,Afghanistan,,,0.46526426,Kabul,34.5553494,69.207486,Country,"Name is based on ISO Alpha 3 code, pulled from ISO where possible and if not within official ISO than the DAC/CRS name has been used.",,,"Cited from UNDP 2015 Human Development Index Data, http://hdr.undp.org/sites/default/files/2015_statistical_annex_tables_all.xls","Where possible, the ISO numeric code has been given. Where not possible, either the UN, MF, DAC region code, or Calling Code has been used preferably in that same order where a three digit identifier not in use elsewhere in this list was available."
58642a2568c6b627b89e0a01,Antigua And Barbuda,GEOM004,ATG,AG,ATG,28,Antigua and Barbuda,19,Americas,,,,,29,Caribbean,,,,,,,,,AG,ATG,ANTIGUA AND BARBUDA,389,"North & Central America, regional",Antigua & Barbuda,377,America (North & Central America),Antigua and Barbuda,ATG,28,Antigua and Barbuda,,6,Western Hemisphere,High income,Antigua and Barbuda,,,0.783367264,St. John's,29.9719419,-81.4278984,Country,"Name is based on ISO Alpha 3 code, pulled from ISO where possible and if not within official ISO than the DAC/CRS name has been used.",,,"Cited from UNDP 2015 Human Development Index Data, http://hdr.undp.org/sites/default/files/2015_statistical_annex_tables_all.xls","Where possible, the ISO numeric code has been given. Where not possible, either the UN, MF, DAC region code, or Calling Code has been used preferably in that same order where a three digit identifier not in use elsewhere in this list was available."
58642a2568c6b627b89e0a02,Anguilla,GEOM005,AIA,AI,AIA,660,Anguilla,19,Americas,,,,,29,Caribbean,,,,,,,,,AI,AIA,,380,"West Indies, regional",,377,America (North & Central America),Small Island Developing States,AIA,660,,,6,Western Hemisphere,,Small Island Developing States,,,0.66002928,The Valley,52.4647175,-7.6939796,Country,"Name is based on ISO Alpha 3 code, pulled from ISO where possible and if not within official ISO than the DAC/CRS name has been used.",,,"Cited from UNDP 2015 Human Development Index Data, http://hdr.undp.org/sites/default/files/2015_statistical_annex_tables_all.xls","Where possible, the ISO numeric code has been given. Where not possible, either the UN, MF, DAC region code, or Calling Code has been used preferably in that same order where a three digit identifier not in use elsewhere in this list was available."
58642a2568c6b627b89e0a03,Albania,GEOM006,ALB,AL,ALB,8,Albania,150,Europe,,,,,39,Southern Europe,,,,,,,,,AL,ALB,ALBANIA,89,"Europe, regional",Albania,71,Europe,Albania,ALB,8,Albania,,2,Europe and Eurasia,Upper middle income,Albania,,,0.732765803,Tirana,41.3275459,19.8186982,Country,"Name is based on ISO Alpha 3 code, pulled from ISO where possible and if not within official ISO than the DAC/CRS name has been used.",,,"Cited from UNDP 2015 Human Development Index Data, http://hdr.undp.org/sites/default/files/2015_statistical_annex_tables_all.xls","Where possible, the ISO numeric code has been given. Where not possible, either the UN, MF, DAC region code, or Calling Code has been used preferably in that same order where a three digit identifier not in use elsewhere in this list was available."
58642a2568c6b627b89e0a04,Armenia,GEOM007,ARM,AM,ARM,51,Armenia,142,Asia,,,,,145,Western Asia,,,,,,,,,AM,ARM,ARMENIA,689,"South & Central Asia, regional",Armenia,540,Asia (Middle East Asia),Armenia,ARM,51,Armenia,,4,South and Central Asia,Lower middle income,Armenia,,,0.732982583,Yerevan,40.1791857,44.4991029,Country,"Name is based on ISO Alpha 3 code, pulled from ISO where possible and if not within official ISO than the DAC/CRS name has been used.",,,"Cited from UNDP 2015 Human Development Index Data, http://hdr.undp.org/sites/default/files/2015_statistical_annex_tables_all.xls","Where possible, the ISO numeric code has been given. Where not possible, either the UN, MF, DAC region code, or Calling Code has been used preferably in that same order where a three digit identifier not in use elsewhere in this list was available."
58642a2568c6b627b89e0a05,Netherland Antilles,GEOM008,NAN,AN,NAN,530,Netherland Antilles,19,Americas,,,,,29,Caribbean,,,,,,,,,AN,NAN,,380,"West Indies, regional",,377,America (North & Central America),,NAN,530,,,6,Western Hemisphere,,,,,,Willemstad,51.6919469,4.4379073,Country,"Name is based on ISO Alpha 3 code, pulled from ISO where possible and if not within official ISO than the DAC/CRS name has been used.",,,"Cited from UNDP 2015 Human Development Index Data, http://hdr.undp.org/sites/default/files/2015_statistical_annex_tables_all.xls","Where possible, the ISO numeric code has been given. Where not possible, either the UN, MF, DAC region code, or Calling Code has been used preferably in that same order where a three digit identifier not in use elsewhere in this list was available."
58642a2568c6b627b89e0a06,Angola,GEOM009,AGO,AO,AGO,24,Angola,2,Africa,,,,,17,Middle Africa,,,,,,,,,AO,AGO,ANGOLA,289,"South of Sahara, regional",Angola,225,Africa (South of Sahara),Angola,AGO,24,Angola,,5,Sub-Saharan Africa,Upper middle income,Angola,,,0.531591422,Luanda,-8.8399876,13.2894368,Country,"Name is based on ISO Alpha 3 code, pulled from ISO where possible and if not within official ISO than the DAC/CRS name has been used.",,,"Cited from UNDP 2015 Human Development Index Data, http://hdr.undp.org/sites/default/files/2015_statistical_annex_tables_all.xls","Where possible, the ISO numeric code has been given. Where not possible, either the UN, MF, DAC region code, or Calling Code has been used preferably in that same order where a three digit identifier not in use elsewhere in this list was available."
58642a2568c6b627b89e0a07,Antarctica,GEOM010,ATA,AQ,ATA,10,Antarctica,10,Antarctica,,,,,0,Antarctica,,,,,,,,,AQ,ATA,,10,"Antarctica, regional",,10,Antarctica,,ATA,10,,,10,Antarctica,,,,,,South Pole,35.3386262,-103.4350312,Country,"Name is based on ISO Alpha 3 code, pulled from ISO where possible and if not within official ISO than the DAC/CRS name has been used.",,,"Cited from UNDP 2015 Human Development Index Data, http://hdr.undp.org/sites/default/files/2015_statistical_annex_tables_all.xls","Where possible, the ISO numeric code has been given. Where not possible, either the UN, MF, DAC region code, or Calling Code has been used preferably in that same order where a three digit identifier not in use elsewhere in this list was available."
